종목코드,종목명,hs코드,품목명,카테고리,관계유형,비고
298040,효성중공업,850422,전력기기·전력인프라·원전_중형 변압기,전력기기·전력인프라·원전,관련품목,
016380,KG스틸,7304,철강·비철금속_강관,철강·비철금속,관련품목,
016380,KG스틸,7305,철강·비철금속_강관,철강·비철금속,관련품목,
016380,KG스틸,7306,철강·비철금속_강관,철강·비철금속,관련품목,
005490,POSCO홀딩스,7304,철강·비철금속_강관,철강·비철금속,관련품목,
005490,POSCO홀딩스,7305,철강·비철금속_강관,철강·비철금속,관련품목,
005490,POSCO홀딩스,7306,철강·비철금속_강관,철강·비철금속,관련품목,
004020,현대제철,7304,철강·비철금속_강관,철강·비철금속,관련품목,
004020,현대제철,7305,철강·비철금속_강관,철강·비철금속,관련품목,
004020,현대제철,7306,철강·비철금속_강관,철강·비철금속,관련품목,
001430,세아베스틸지주,7213,철강·비철금속_봉형강,철강·비철금속,관련품목,
001430,세아베스틸지주,7214,철강·비철금속_봉형강,철강·비철금속,관련품목,
001430,세아베스틸지주,7216,철강·비철금속_봉형강,철강·비철금속,관련품목,
004020,현대제철,7213,철강·비철금속_봉형강,철강·비철금속,관련품목,
004020,현대제철,7214,철강·비철금속_봉형강,철강·비철금속,관련품목,
004020,현대제철,7216,철강·비철금속_봉형강,철강·비철금속,관련품목,
010130,고려아연,7106,철강·비철금속_비철금속,철강·비철금속,주력품목,
010130,고려아연,7108,철강·비철금속_비철금속,철강·비철금속,주력품목,
010130,고려아연,7128,철강·비철금속_비철금속,철강·비철금속,주력품목,
010130,고려아연,7403,철강·비철금속_비철금속,철강·비철금속,주력품목,
010130,고려아연,7801,철강·비철금속_비철금속,철강·비철금속,주력품목,
