hs코드,품목명,기업명,종목코드,연월,수출금액_usd
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-08,125915051
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-09,101635189
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-10,136612556
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-11,141313071
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2018-12,100298141
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-01,107625934
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-02,94839704
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-03,104403459
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-04,105038198
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-05,99230842
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-06,114903656
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-07,131277473
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-08,108239577
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-09,103529032
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-10,124401113
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-11,111651073
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2019-12,129064960
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-01,111685447
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-02,102317143
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-03,144903772
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-04,118496654
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-05,108789541
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-06,89039318
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-07,91000047
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-08,100249073
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-09,122812871
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-10,119051198
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-11,122262818
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2020-12,141714635
